player_id,draft_year,team_id,team_name,round_number,overall_pick,drafted_from_team,drafted_from_league,source,source_id,source_url
2024-001-macklin-celebrini,2024,SJS,San Jose Sharks,1,1,Boston University,NCAA,nhl_draft_api,2024-1,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-002-artyom-levshunov,2024,CHI,Chicago Blackhawks,1,2,Michigan State U.,NCAA,nhl_draft_api,2024-2,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-003-beckett-sennecke,2024,ANA,Anaheim Ducks,1,3,Oshawa,OHL,nhl_draft_api,2024-3,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-004-cayden-lindstrom,2024,CBJ,Columbus Blue Jackets,1,4,Medicine Hat,WHL,nhl_draft_api,2024-4,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-005-ivan-demidov,2024,MTL,Montréal Canadiens,1,5,SKA Saint Petersburg Jr.,Russia Jr.,nhl_draft_api,2024-5,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-006-tij-iginla,2024,UTA,Utah Hockey Club,1,6,Kelowna,WHL,nhl_draft_api,2024-6,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-007-carter-yakemchuk,2024,OTT,Ottawa Senators,1,7,Calgary,WHL,nhl_draft_api,2024-7,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-008-berkly-catton,2024,SEA,Seattle Kraken,1,8,Spokane,WHL,nhl_draft_api,2024-8,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-009-zayne-parekh,2024,CGY,Calgary Flames,1,9,Saginaw,OHL,nhl_draft_api,2024-9,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-010-anton-silayev,2024,NJD,New Jersey Devils,1,10,Nizhny Novgorod,RUSSIA,nhl_draft_api,2024-10,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-011-sam-dickinson,2024,SJS,San Jose Sharks,1,11,London,OHL,nhl_draft_api,2024-11,https://api-web.nhle.com/v1/draft/picks/2024/all
2024-012-zeev-buium,2024,MIN,Minnesota Wild,1,12,Denver,NCAA,nhl_draft_api,2024-12,https://api-web.nhle.com/v1/draft/picks/2024/all
