player_id,season,league,team,games,goals,assists,points,age,timing,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
2024-001-macklin-celebrini,2023-24,NCAA,Boston University,38,32,32,64,,pre_draft,true,collegehockeyinc,59213,https://collegehockeyinc.com/players/career/59213,,,,,,,,,,
2024-002-artyom-levshunov,2023-24,NCAA,Michigan State,38,9,26,35,,pre_draft,true,collegehockeyinc,60239,https://collegehockeyinc.com/players/career/60239,,,,,,,,,,
2024-003-beckett-sennecke,2023-24,OHL,OSH,16,10,12,22,,pre_draft,false,chl,8724,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-003-beckett-sennecke,2023-24,OHL,OSH,63,27,41,68,,pre_draft,true,chl,8724,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-004-cayden-lindstrom,2023-24,WHL,MH,4,1,1,2,,pre_draft,false,chl,29094,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-004-cayden-lindstrom,2023-24,WHL,MH,32,27,19,46,,pre_draft,true,chl,29094,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-005-ivan-demidov,2023-24,KHL,SKA St. Petersburg,4,0,0,0,,pre_draft,true,open-stats,2024-khl-regular-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
2024-005-ivan-demidov,2023-24,MHL,SKA-1946 St. Petersburg,17,11,17,28,,pre_draft,false,open-stats,2024-mhl-playoffs-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
2024-005-ivan-demidov,2023-24,MHL,SKA-1946 St. Petersburg,30,23,37,60,,pre_draft,true,open-stats,2024-mhl-regular-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
2024-006-tij-iginla,2023-24,WHL,KEL,11,9,6,15,,pre_draft,false,chl,29008,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-006-tij-iginla,2023-24,WHL,KEL,64,47,37,84,,pre_draft,true,chl,29008,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-007-carter-yakemchuk,2023-24,WHL,CGY,66,30,41,71,,pre_draft,true,chl,28930,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-008-berkly-catton,2023-24,WHL,SPO,4,0,4,4,,pre_draft,false,chl,29113,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-008-berkly-catton,2023-24,WHL,SPO,68,54,62,116,,pre_draft,true,chl,29113,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-009-zayne-parekh,2023-24,OHL,SAG,13,2,9,11,,pre_draft,false,chl,8773,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-009-zayne-parekh,2023-24,OHL,SAG,66,33,63,96,,pre_draft,true,chl,8773,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-010-anton-silayev,2023-24,KHL,Torpedo Nizhny Novgorod,5,0,2,2,,pre_draft,false,open-stats,2024-khl-playoffs-anton-silayev,https://en.wikipedia.org/wiki/Anton_Silayev,,,,,,,,,,
2024-010-anton-silayev,2023-24,KHL,Torpedo Nizhny Novgorod,63,3,8,11,,pre_draft,true,open-stats,2024-khl-regular-anton-silayev,https://en.wikipedia.org/wiki/Anton_Silayev,,,,,,,,,,
2024-010-anton-silayev,2023-24,MHL,Chaika Nizhny Novgorod,4,0,2,2,,pre_draft,false,open-stats,2024-mhl-playoffs-anton-silayev,https://www.nhl.com/devils/news/topic/10-takeaways/devils-sign-defenseman-anton-silayev-release-6-1-26,,,,,,,,,,
2024-011-sam-dickinson,2023-24,OHL,LDN,18,4,9,13,,pre_draft,false,chl,8826,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-011-sam-dickinson,2023-24,OHL,LDN,68,18,52,70,,pre_draft,true,chl,8826,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-012-zeev-buium,2023-24,NCAA,Denver,42,11,39,50,,pre_draft,true,collegehockeyinc,60326,https://collegehockeyinc.com/players/career/60326,,,,,,,,,,
2024-013-jett-luchanko,2023-24,OHL,GUE,4,0,3,3,,pre_draft,false,chl,8786,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-013-jett-luchanko,2023-24,OHL,GUE,68,20,54,74,,pre_draft,true,chl,8786,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-015-michael-brandsegg-nyg-rd,2023-24,HockeyAllsvenskan,Mora IK,12,4,6,10,,pre_draft,false,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15784,,,,,,,,,,
2024-015-michael-brandsegg-nyg-rd,2023-24,HockeyAllsvenskan,Mora IK,41,8,10,18,,pre_draft,true,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678,,,,,,,,,,
2024-015-michael-brandsegg-nyg-rd,2023-24,Sweden Jrs.,Mora IK,7,5,7,12,,pre_draft,true,swehockey,michaelbrandseggnygard,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14708,,,,,,,,,,
2024-017-terik-parascak,2023-24,WHL,PG,12,6,8,14,,pre_draft,false,chl,29272,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-017-terik-parascak,2023-24,WHL,PG,68,43,62,105,,pre_draft,true,chl,29272,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-018-sacha-boisvert,2023-24,USHL,MUS,8,0,3,3,,pre_draft,false,ushl,9719,https://ushl.com/ht/#/player/9719/84/Sacha%20Boisvert,,,,,,,,,,
2024-018-sacha-boisvert,2023-24,USHL,MUS,61,36,32,68,,pre_draft,true,ushl,9719,https://ushl.com/ht/#/player/9719/82/Sacha%20Boisvert,,,,,,,,,,
2024-019-trevor-connelly,2023-24,USHL,TC,52,31,47,78,,pre_draft,true,ushl,9775,https://ushl.com/ht/#/player/9775/82/Trevor%20Connelly,,,,,,,,,,
2024-020-cole-eiserman,2023-24,USHL,NTDP,24,25,9,34,,pre_draft,true,ushl,9884,https://ushl.com/ht/#/player/9884/82/Cole%20Eiserman,,,,,,,,,,
2024-021-michael-hage,2023-24,USHL,CHI,2,2,2,4,,pre_draft,false,ushl,9629,https://ushl.com/ht/#/player/9629/84/Michael%20Hage,,,,,,,,,,
