player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2024-001-macklin-celebrini,Macklin Celebrini,false,,,,,,,,,
2024-002-artyom-levshunov,Artyom Levshunov,false,,,,,,,,,
2024-003-beckett-sennecke,Beckett Sennecke,false,,,,,,,,,
2024-004-cayden-lindstrom,Cayden Lindstrom,false,,,,,,,,,
2024-005-ivan-demidov,Ivan Demidov,false,,,,,,,,,
2024-006-tij-iginla,Tij Iginla,false,,,,,,,,,
2024-007-carter-yakemchuk,Carter Yakemchuk,false,,,,,,,,,
2024-008-berkly-catton,Berkly Catton,false,,,,,,,,,
2024-009-zayne-parekh,Zayne Parekh,false,,,,,,,,,
2024-010-anton-silayev,Anton Silayev,false,,,,,,,,,
2024-011-sam-dickinson,Sam Dickinson,false,,,,,,,,,
2024-012-zeev-buium,Zeev Buium,false,,,,,,,,,
2024-013-jett-luchanko,Jett Luchanko,false,,,,,,,,,
2024-014-konsta-helenius,Konsta Helenius,false,,,,,,,,,
2024-015-michael-brandsegg-nyg-rd,Michael Brandsegg-Nygård,false,,,,,,,,,
2024-016-adam-jiricek,Adam Jiricek,false,,,,,,,,,
2024-017-terik-parascak,Terik Parascak,false,,,,,,,,,
2024-018-sacha-boisvert,Sacha Boisvert,true,Sacha Boisvert,9719,https://ushl.com/ht/#/player/9719/84/Sacha%20Boisvert,MUS,8,0,3,3,false
2024-018-sacha-boisvert,Sacha Boisvert,true,Sacha Boisvert,9719,https://ushl.com/ht/#/player/9719/82/Sacha%20Boisvert,MUS,61,36,32,68,true
2024-019-trevor-connelly,Trevor Connelly,true,Trevor Connelly,9775,https://ushl.com/ht/#/player/9775/82/Trevor%20Connelly,TC,52,31,47,78,true
2024-020-cole-eiserman,Cole Eiserman,true,Cole Eiserman,9884,https://ushl.com/ht/#/player/9884/82/Cole%20Eiserman,NTDP,24,25,9,34,true
2024-021-michael-hage,Michael Hage,true,Michael Hage,9629,https://ushl.com/ht/#/player/9629/84/Michael%20Hage,CHI,2,2,2,4,false
2024-021-michael-hage,Michael Hage,true,Michael Hage,9629,https://ushl.com/ht/#/player/9629/82/Michael%20Hage,CHI,54,33,42,75,true
2024-022-egor-surin,Egor Surin,false,,,,,,,,,
2024-023-stian-solberg,Stian Solberg,false,,,,,,,,,
2024-024-cole-beaudoin,Cole Beaudoin,false,,,,,,,,,
2024-025-dean-letourneau,Dean Letourneau,false,,,,,,,,,
2024-026-liam-greentree,Liam Greentree,false,,,,,,,,,
2024-027-marek-vanacker,Marek Vanacker,false,,,,,,,,,
2024-028-matvei-gridin,Matvei Gridin,true,Matvei Gridin,9851,https://ushl.com/ht/#/player/9851/84/Matvei%20Gridin,MUS,8,1,4,5,false
2024-028-matvei-gridin,Matvei Gridin,true,Matvei Gridin,9851,https://ushl.com/ht/#/player/9851/82/Matvei%20Gridin,MUS,60,38,45,83,true
2024-029-emil-hemming,Emil Hemming,false,,,,,,,,,
2024-030-ej-emery,EJ Emery,true,EJ Emery,9891,https://ushl.com/ht/#/player/9891/82/EJ%20Emery,NTDP,27,0,6,6,true
2024-031-ben-danford,Ben Danford,false,,,,,,,,,
2024-032-sam-o-reilly,Sam O'Reilly,false,,,,,,,,,
2024-033-igor-chernyshov,Igor Chernyshov,false,,,,,,,,,
2024-034-dominik-badinka,Dominik Badinka,false,,,,,,,,,
2024-035-lucas-pettersson,Lucas Pettersson,false,,,,,,,,,
2024-036-charlie-elick,Charlie Elick,false,,,,,,,,,
2024-037-alfons-freij,Alfons Freij,false,,,,,,,,,
2024-038-ilya-nabokov,Ilya Nabokov,false,,,,,,,,,
2024-039-gabriel-eliasson,Gabriel Eliasson,false,,,,,,,,,
2024-040-julius-miettinen,Julius Miettinen,false,,,,,,,,,
2024-041-andrew-basha,Andrew Basha,false,,,,,,,,,
2024-042-adam-kleber,Adam Kleber,true,Adam Kleber,9858,https://ushl.com/ht/#/player/9858/84/Adam%20Kleber,LIN,5,1,1,2,false
2024-042-adam-kleber,Adam Kleber,true,Adam Kleber,9858,https://ushl.com/ht/#/player/9858/82/Adam%20Kleber,LIN,56,5,21,26,true
2024-043-cole-hutson,Cole Hutson,true,Cole Hutson,9895,https://ushl.com/ht/#/player/9895/82/Cole%20Hutson,NTDP,19,3,9,12,true
2024-044-harrison-brunicke,Harrison Brunicke,false,,,,,,,,,
2024-045-ryder-ritchie,Ryder Ritchie,false,,,,,,,,,
2024-046-tanner-howe,Tanner Howe,false,,,,,,,,,
2024-047-max-plante,Max Plante,true,Max Plante,9887,https://ushl.com/ht/#/player/9887/82/Max%20Plante,NTDP,25,6,23,29,true
2024-048-colin-ralph,Colin Ralph,false,,,,,,,,,
2024-049-mikhail-yegorov,Mikhail Yegorov,true,Mikhail Yegorov,10122,https://ushl.com/ht/#/player/10122/82/Mikhail%20Yegorov,OMA,43,,,,true
2024-049-mikhail-yegorov,Mikhail Yegorov,true,Mikhail Yegorov,10122,https://ushl.com/ht/#/player/10122/82/Mikhail%20Yegorov,OMA,43,0,0,0,true
2024-050-nikita-artamonov,Nikita Artamonov,false,,,,,,,,,
2024-051-jack-berglund,Jack Berglund,false,,,,,,,,,
2024-052-leon-muggli,Leon Muggli,false,,,,,,,,,
2024-053-leo-sahlin-wallenius,Leo Sahlin Wallenius,false,,,,,,,,,
2024-054-jesse-pulkkinen,Jesse Pulkkinen,false,,,,,,,,,
2024-055-teddy-stiga,Teddy Stiga,true,Teddy Stiga,9879,https://ushl.com/ht/#/player/9879/82/Teddy%20Stiga,NTDP,27,18,20,38,true
2024-056-lukas-fischer,Lukas Fischer,false,,,,,,,,,
2024-057-carter-george,Carter George,false,,,,,,,,,
2024-058-linus-eriksson,Linus Eriksson,false,,,,,,,,,
2024-059-spencer-gill,Spencer Gill,false,,,,,,,,,
2024-060-evan-gardner,Evan Gardner,false,,,,,,,,,
2024-061-kamil-bednarik,Kamil Bednarik,true,Kamil Bednarik,9881,https://ushl.com/ht/#/player/9881/82/Kamil%20Bednarik,NTDP,27,11,19,30,true
2024-062-jacob-battaglia,Jacob Battaglia,false,,,,,,,,,
2024-063-nathan-villeneuve,Nathan Villeneuve,false,,,,,,,,,
2024-064-eemil-vinni,Eemil Vinni,false,,,,,,,,,
2024-065-will-skahan,Will Skahan,true,Will Skahan,9894,https://ushl.com/ht/#/player/9894/82/Will%20Skahan,NTDP,24,4,2,6,true
