source_player_id,source_name,base_player_id,base_name,match_method,match_score
2025-ep-matthew-schaefer,Matthew Schaefer,2025-001-matthew-schaefer,Matthew Schaefer,exact,1.000
2025-ep-michael-misa,Michael Misa,2025-002-michael-misa,Michael Misa,exact,1.000
2025-ep-porter-martone,Porter Martone,2025-006-porter-martone,Porter Martone,exact,1.000
2025-ep-james-hagens,James Hagens,2025-007-james-hagens,James Hagens,exact,1.000
2025-ep-roger-mcqueen,Roger McQueen,2025-010-roger-mcqueen,Roger McQueen,exact,1.000
2025-ep-jackson-smith,Jackson Smith,2025-014-jackson-smith,Jackson Smith,exact,1.000
2025-ep-caleb-desnoyers,Caleb Desnoyers,2025-004-caleb-desnoyers,Caleb Desnoyers,exact,1.000
2025-ep-carter-bear,Carter Bear,2025-013-carter-bear,Carter Bear,exact,1.000
2025-ep-victor-eklund,Victor Eklund,2025-016-victor-eklund,Victor Eklund,exact,1.000
2025-ep-jake-obrien,Jake O’Brien,2025-008-jake-o-brien,Jake O'Brien,exact,1.000
2025-ep-justin-carbonneau,Justin Carbonneau,2025-019-justin-carbonneau,Justin Carbonneau,exact,1.000
2025-ep-brady-martin,Brady Martin,2025-005-brady-martin,Brady Martin,exact,1.000
2025-ep-anton-frondell,Anton Frondell,2025-003-anton-frondell,Anton Frondell,exact,1.000
2025-ep-lynden-lakovic,Lynden Lakovic,2025-027-lynden-lakovic,Lynden Lakovic,exact,1.000
2025-ep-radim-mrtka,Radim Mrtka,2025-009-radim-mrtka,Radim Mrtka,exact,1.000
2025-ep-braeden-cootes,Braeden Cootes,2025-015-braeden-cootes,Braeden Cootes,exact,1.000
2025-ep-logan-hensler,Logan Hensler,2025-023-logan-hensler,Logan Hensler,exact,1.000
2025-ep-kashawn-aitcheson,Kashawn Aitcheson,2025-017-kashawn-aitcheson,Kashawn Aitcheson,exact,1.000
2025-ep-cameron-reid,Cameron Reid,2025-021-cameron-reid,Cameron Reid,exact,1.000
2025-ep-benjamin-kindel,Benjamin Kindel,2025-011-ben-kindel,Ben Kindel,alias,1.000
2025-ep-malcolm-spence,Malcolm Spence,2025-043-malcolm-spence,Malcolm Spence,exact,1.000
2025-ep-cameron-schmidt,Cameron Schmidt,2025-094-cameron-schmidt,Cameron Schmidt,exact,1.000
2025-ep-blake-fiddler,Blake Fiddler,2025-036-blake-fiddler,Blake Fiddler,exact,1.000
2025-ep-joshua-ravensbergen,Joshua Ravensbergen,2025-030-joshua-ravensbergen,Joshua Ravensbergen,exact,1.000
2025-ep-cole-reschny,Cole Reschny,2025-018-cole-reschny,Cole Reschny,exact,1.000
2025-ep-václav-nestrašil,Václav Nestrašil,2025-025-vaclav-nestrasil,Vaclav Nestrasil,exact,1.000
2025-ep-shane-vansaghi,Shane Vansaghi,2025-048-shane-vansaghi,Shane Vansaghi,exact,1.000
2025-ep-bill-zonnon,Bill Zonnon,2025-022-bill-zonnon,Bill Zonnon,exact,1.000
2025-ep-jack-murtagh,Jack Murtagh,2025-040-jack-murtagh,Jack Murtagh,exact,1.000
2025-ep-cullen-potter,Cullen Potter,2025-032-cullen-potter,Cullen Potter,exact,1.000
2025-ep-max-pšenička,Max Pšenička,2025-046-max-psenicka,Max Psenicka,exact,1.000
2025-ep-jacob-rombach,Jacob Rombach,2025-035-jacob-rombach,Jacob Rombach,exact,1.000
2025-ep-kurban-limatov,Kurban Limatov,2025-067-kurban-limatov,Kurban Limatov,exact,1.000
2025-ep-ryker-lee,Ryker Lee,2025-026-ryker-lee,Ryker Lee,exact,1.000
2025-ep-william-moore,William Moore,2025-051-william-moore,William Moore,exact,1.000
2025-ep-nathan-behm,Nathan Behm,2025-066-nathan-behm,Nathan Behm,exact,1.000
2025-ep-sascha-boumedienne,Sascha Boumedienne,2025-028-sascha-boumedienne,Sascha Boumedienne,exact,1.000
2025-ep-henry-brzustewicz,Henry Brzustewicz,2025-031-henry-brzustewicz,Henry Brzustewicz,exact,1.000
2025-ep-kristian-epperson,Kristian Epperson,2025-088-kristian-epperson,Kristian Epperson,exact,1.000
2025-ep-luca-romano,Luca Romano,2025-074-luca-romano,Luca Romano,exact,1.000
2025-ep-benjamin-kevan,Benjamin Kevan,2025-063-ben-kevan,Ben Kevan,alias,1.000
2025-ep-alexander-zharovsky,Alexander Zharovsky,2025-034-alexander-zharovsky,Alexander Zharovsky,exact,1.000
2025-ep-hayden-paupanekis,Hayden Paupanekis,2025-069-hayden-paupanekis,Hayden Paupanekis,exact,1.000
2025-ep-matthew-gard,Matthew Gard,2025-057-matthew-gard,Matthew Gard,exact,1.000
2025-ep-milton-gästrin,Milton Gästrin,2025-037-milton-gastrin,Milton Gastrin,exact,1.000
2025-ep-mason-west,Mason West,2025-029-mason-west,Mason West,exact,1.000
2025-ep-david-bedkowski,David Bedkowski,2025-071-david-bedkowski,David Bedkowski,exact,1.000
2025-ep-jack-nesbitt,Jack Nesbitt,2025-012-jack-nesbitt,Jack Nesbitt,exact,1.000
2025-ep-haoxi-wang,Haoxi Wang,2025-033-haoxi-wang,Haoxi Wang,exact,1.000
2025-ep-ethan-czata,Ethan Czata,2025-056-ethan-czata,Ethan Czata,exact,1.000
2025-ep-cole-mckinney,Cole McKinney,2025-053-cole-mckinney,Cole McKinney,exact,1.000
2025-ep-ivan-ryabkin,Ivan Ryabkin,2025-062-ivan-ryabkin,Ivan Ryabkin,exact,1.000
2025-ep-jakob-ihswozniak,Jakob Ihs-Wozniak,2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,exact,1.000
2025-ep-charlie-trethewey,Charlie Trethewey,2025-073-charlie-trethewey,Charlie Trethewey,exact,1.000
2025-ep-daniil-prokhorov,Daniil Prokhorov,2025-042-daniil-prokhorov,Daniil Prokhorov,exact,1.000
2025-ep-william-horcoff,William Horcoff,2025-024-will-horcoff,Will Horcoff,alias,1.000
2025-ep-theo-stockselius,Theo Stockselius,2025-054-theo-stockselius,Theo Stockselius,exact,1.000
2025-ep-peyton-kettles,Peyton Kettles,2025-039-peyton-kettles,Peyton Kettles,exact,1.000
2025-ep-eric-nilson,Eric Nilson,2025-045-eric-nilson,Eric Nilson,exact,1.000
2025-ep-tyler-hopkins,Tyler Hopkins,2025-086-tyler-hopkins,Tyler Hopkins,exact,1.000
2025-ep-carter-amico,Carter Amico,2025-038-carter-amico,Carter Amico,exact,1.000
2025-ep-eddie-genborg,Eddie Genborg,2025-044-eddie-genborg,Eddie Genborg,exact,1.000
2025-ep-malte-vass,Malte Vass,2025-076-malte-vass,Malte Vass,exact,1.000
2025-ep-alexei-medvedev,Alexei Medvedev,2025-047-alexei-medvedev,Alexei Medvedev,exact,1.000
2025-ep-sean-barnhill,Sean Barnhill,2025-070-sean-barnhill,Sean Barnhill,exact,1.000
2025-ep-brandon-gorzynski,Brandon Gorzynski,2025-126-brandon-gorzynski,Brandon Gorzynski,exact,1.000
2025-ep-maceo-phillips,Mace’o Phillips,2025-080-mace-o-phillips,Mace'o Phillips,exact,1.000
2025-ep-everett-baldwin,Everett Baldwin,2025-151-everett-baldwin,Everett Baldwin,exact,1.000
2025-ep-cooper-simpson,Cooper Simpson,2025-079-cooper-simpson,Cooper Simpson,exact,1.000
2025-ep-edison-engle,Edison Engle,2025-188-edison-engle,Edison Engle,exact,1.000
2025-ep-lj-mooney,L.J. Mooney,2025-113-l-j-mooney,L.J. Mooney,exact,1.000
2025-ep-semyon-frolov75,Semyon Frolov75,2025-041-semyon-frolov,Semyon Frolov,fuzzy,0.923
2025-ep-filip-ekberg,Filip Ekberg,2025-221-filip-ekberg,Filip Ekberg,exact,1.000
2025-ep-david-lewandowski,David Lewandowski,2025-117-david-lewandowski,David Lewandowski,exact,1.000
2025-ep-pyotr-andreyanov79,Pyotr Andreyanov79,2025-020-pyotr-andreyanov,Pyotr Andreyanov,fuzzy,0.938
2025-ep-viktor-klingsell,Viktor Klingsell,2025-156-viktor-klingsell,Viktor Klingsell,exact,1.000
2025-ep-owen-griffin,Owen Griffin,2025-160-owen-griffin,Owen Griffin,exact,1.000
2025-ep-brady-peddle,Brady Peddle,2025-091-brady-peddle,Brady Peddle,exact,1.000
2025-ep-viggo-nordlund,Viggo Nordlund,2025-183-viggo-nordlund,Viggo Nordlund,exact,1.000
2025-ep-lirim-amidovski,Lirim Amidovski,2025-121-lirim-amidovski,Lirim Amidovski,exact,1.000
2025-ep-teddy-mutryn,Teddy Mutryn,2025-095-teddy-mutryn,Teddy Mutryn,exact,1.000
2025-ep-shamar-moses,Shamar Moses,2025-129-shamar-moses,Shamar Moses,exact,1.000
2025-ep-lucas-beckman,Lucas Beckman,2025-097-lucas-beckman,Lucas Beckman,exact,1.000
2025-ep-jimmy-lombardi,Jimmy Lombardi,2025-125-jimmy-lombardi,Jimmy Lombardi,exact,1.000
