team_id,team_name,league_level,affiliate_of,role_bucket,role_type,players,under_25,age_25_to_29,age_30_plus,right_shots,left_shots,avg_age,avg_points_per_game,avg_goalie_save_percentage,avg_goalie_goals_against_average,goalie_wins,goalie_shutouts,snapshot_dates,snapshot_types,high_confidence_assignments,contract_players,contract_coverage,total_cap_hit,avg_cap_hit,long_term_committed,expiring_contracts,trade_protected,avg_trade_restriction_share,roster_flexibility_score,contract_commitment_score,scarcity_target,scarcity_score,example_players,u25_example_players
ANA,Anaheim Ducks,AHL,San Diego Gulls,center,center_depth,3,2,0,1,2,1,26.20,0.276,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.000,Jan Myšák; Josh Lopina; Eddie Matsushima,Jan Myšák; Josh Lopina
ANA,Anaheim Ducks,AHL,San Diego Gulls,center,scoring_center,1,0,0,1,1,0,34.40,0.681,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,Ryan Carpenter,
ANA,Anaheim Ducks,AHL,San Diego Gulls,center,two_way_center,2,2,0,0,2,0,22.80,0.203,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Nathan Gaucher; Owen Lindmark,Nathan Gaucher; Owen Lindmark
ANA,Anaheim Ducks,AHL,San Diego Gulls,defense,defense_depth,8,6,1,1,3,5,23.70,0.119,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,4.5,0.000,Tyson Hinds; Noah Warren; Rodwin Dionicio; Jeremie Biakabutuka; Konnor Smith,Tyson Hinds; Noah Warren; Rodwin Dionicio; Jeremie Biakabutuka; Konnor Smith
ANA,Anaheim Ducks,AHL,San Diego Gulls,defense,puck_moving_defense,4,3,1,0,3,1,23.40,0.622,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Tristan Luneau; Stian Solberg; Ian Moore; Roland McKeown,Tristan Luneau; Stian Solberg; Ian Moore
ANA,Anaheim Ducks,AHL,San Diego Gulls,defense,two_way_defense,1,0,1,0,1,0,26.30,0.150,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,Andrew Lucas,
ANA,Anaheim Ducks,AHL,San Diego Gulls,goalie,depth_goalie,2,2,0,0,0,0,21.70,0.000,0.849,4.35,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,"Damian Clara (0.898 SV%, 3.15 GAA); Vyacheslav Buteyets (0.800 SV%, 5.56 GAA)","Damian Clara (0.898 SV%, 3.15 GAA); Vyacheslav Buteyets (0.800 SV%, 5.56 GAA)"
ANA,Anaheim Ducks,AHL,San Diego Gulls,goalie,starter_goalie,1,0,0,1,0,0,31.30,0.054,0.886,3.47,11,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Oscar Dansk (11W, 0.886 SV%, 3.47 GAA)",
ANA,Anaheim Ducks,AHL,San Diego Gulls,goalie,tandem_goalie,1,1,0,0,0,0,23.00,0.065,0.895,3.17,11,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Calle Clang (11W, 0.895 SV%, 3.17 GAA)","Calle Clang (11W, 0.895 SV%, 3.17 GAA)"
ANA,Anaheim Ducks,AHL,San Diego Gulls,wing,scoring_wing,2,1,1,0,1,1,24.85,0.885,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.333,Sasha Pastujov; Carson Meyer,Sasha Pastujov
ANA,Anaheim Ducks,AHL,San Diego Gulls,wing,two_way_wing,2,1,1,0,2,0,24.65,0.187,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.333,Judd Caulfield; Michael Farren,Judd Caulfield
ANA,Anaheim Ducks,AHL,San Diego Gulls,wing,wing_depth,11,5,5,1,6,5,25.11,0.205,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,6.0,0.000,Nico Myatovic; Coulson Pitre; Yegor Sidorov; Jaxsen Wiebe; Drew Elliott,Nico Myatovic; Coulson Pitre; Yegor Sidorov; Jaxsen Wiebe; Drew Elliott
ANA,Anaheim Ducks,NHL,,center,center_depth,6,2,3,1,1,5,27.13,0.335,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.000,Trevor Zegras; Nikita Nesterenko; Ryan Strome; Isac Lundeström; Jansen Harkins,Trevor Zegras; Nikita Nesterenko
ANA,Anaheim Ducks,NHL,,center,scoring_center,1,1,0,0,0,1,22.30,0.684,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,Mason McTavish,Mason McTavish
ANA,Anaheim Ducks,NHL,,center,two_way_center,2,2,0,0,0,2,22.10,0.296,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.000,Leo Carlsson; Tim Washe,Leo Carlsson; Tim Washe
ANA,Anaheim Ducks,NHL,,defense,defense_depth,2,1,0,1,1,1,26.40,0.215,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,6.0,0.667,Pavel Mintyukov; Jacob Trouba,Pavel Mintyukov
ANA,Anaheim Ducks,NHL,,defense,puck_moving_defense,1,1,0,0,0,1,24.40,0.573,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,Jackson LaCombe,Jackson LaCombe
ANA,Anaheim Ducks,NHL,,defense,two_way_defense,4,2,1,1,2,2,27.23,0.230,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.000,Olen Zellweger; Drew Helleson; Radko Gudas; Oliver Kylington,Olen Zellweger; Drew Helleson
ANA,Anaheim Ducks,NHL,,goalie,depth_goalie,1,0,0,1,0,1,30.30,0.000,0.925,2.99,1,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,"Ville Husso (1W, 0.925 SV%, 2.99 GAA)",
ANA,Anaheim Ducks,NHL,,goalie,starter_goalie,1,1,0,0,0,1,24.90,0.000,0.903,3.10,23,1,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,"Lukas Dostal (23W, 0.903 SV%, 3.10 GAA, 1 SO)","Lukas Dostal (23W, 0.903 SV%, 3.10 GAA, 1 SO)"
ANA,Anaheim Ducks,NHL,,goalie,tandem_goalie,1,0,0,1,0,1,31.90,0.034,0.912,2.77,11,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,"John Gibson (11W, 0.912 SV%, 2.77 GAA)",
ANA,Anaheim Ducks,NHL,,wing,scoring_wing,1,0,1,0,1,0,27.70,0.714,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.750,Troy Terry,
ANA,Anaheim Ducks,NHL,,wing,two_way_wing,3,1,0,2,0,3,29.47,0.432,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.250,Cutter Gauthier; Alex Killorn; Brock McGinn,Cutter Gauthier
ANA,Anaheim Ducks,NHL,,wing,wing_depth,4,1,1,2,2,2,28.00,0.324,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,8.0,0.500,Sam Colangelo; Frank Vatrano; Brett Leason; Ross Johnston,Sam Colangelo
BOS,Boston Bruins,AHL,Providence Bruins,center,center_depth,2,1,1,0,0,2,24.95,0.395,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.333,Fraser Minten; Jake Gaudet,Fraser Minten
BOS,Boston Bruins,AHL,Providence Bruins,defense,defense_depth,2,2,0,0,0,2,22.90,0.190,,,,,2025-06-01,season_stats,1,0,0.000,,,0,0,0,,,0.000,4.5,0.556,Daniil Misyul; Jackson Edward,Daniil Misyul; Jackson Edward
BOS,Boston Bruins,AHL,Providence Bruins,defense,puck_moving_defense,1,1,0,0,1,0,22.20,0.455,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,Ty Gallagher,Ty Gallagher
BOS,Boston Bruins,AHL,Providence Bruins,defense,two_way_defense,6,5,1,0,3,3,24.00,0.225,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Frederic Brunet; Mason Millman; Max Wanner; Ryan Mast; Chris Ortiz,Frederic Brunet; Mason Millman; Max Wanner; Ryan Mast; Chris Ortiz
BOS,Boston Bruins,AHL,Providence Bruins,goalie,depth_goalie,1,1,0,0,0,0,24.40,0.000,0.792,5.10,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Nolan Maier (0.792 SV%, 5.10 GAA)","Nolan Maier (0.792 SV%, 5.10 GAA)"
BOS,Boston Bruins,AHL,Providence Bruins,goalie,starter_goalie,1,0,1,0,0,0,26.00,0.000,0.927,2.05,26,4,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Michael DiPietro (26W, 0.927 SV%, 2.05 GAA, 4 SO)",
BOS,Boston Bruins,AHL,Providence Bruins,goalie,tandem_goalie,1,0,1,0,0,0,26.90,0.000,0.907,2.77,15,5,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Brandon Bussi (15W, 0.907 SV%, 2.77 GAA, 5 SO)",
BOS,Boston Bruins,AHL,Providence Bruins,wing,scoring_wing,2,1,0,1,1,1,27.50,1.390,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.333,Dans Locmelis; Tyler Pitlick,Dans Locmelis
BOS,Boston Bruins,AHL,Providence Bruins,wing,two_way_wing,5,4,1,0,2,3,23.36,0.229,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.000,Riley Duran; Brett Harrison; Jake Schmaltz; Adam Mechura; Jaxon Nelson,Riley Duran; Brett Harrison; Jake Schmaltz; Adam Mechura
BOS,Boston Bruins,AHL,Providence Bruins,wing,wing_depth,4,2,2,0,2,2,25.80,0.174,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,6.0,0.333,Trevor Kuntar; Dalton Bancroft; Joey Abate; Jimmy Lambert,Trevor Kuntar; Dalton Bancroft
BOS,Boston Bruins,NHL,,center,center_depth,12,4,4,4,6,6,27.30,0.282,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.000,John Beecher; Matthew Poitras; Marat Khusnutdinov; Georgii Merkulov; Elias Lindholm,John Beecher; Matthew Poitras; Marat Khusnutdinov; Georgii Merkulov
BOS,Boston Bruins,NHL,,center,scoring_center,2,1,1,0,2,0,25.60,0.870,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.000,John Farinacci; Morgan Geekie,John Farinacci
BOS,Boston Bruins,NHL,,defense,defense_depth,6,1,4,1,2,4,27.15,0.219,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,6.0,0.000,Mason Lohrei; Andrew Peeke; Parker Wotherspoon; Hampus Lindholm; Michael Callahan,Mason Lohrei
BOS,Boston Bruins,NHL,,defense,puck_moving_defense,1,0,1,0,1,0,27.40,0.460,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,Charlie McAvoy,
BOS,Boston Bruins,NHL,,defense,two_way_defense,2,0,1,1,1,1,28.05,0.247,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.000,Nikita Zadorov; Henri Jokiharju,
BOS,Boston Bruins,NHL,,goalie,starter_goalie,1,0,1,0,0,1,26.50,0.000,0.892,3.11,22,4,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,"Jeremy Swayman (22W, 0.892 SV%, 3.11 GAA, 4 SO)",
BOS,Boston Bruins,NHL,,goalie,tandem_goalie,1,0,0,1,0,1,31.10,0.000,0.893,2.90,11,3,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,2.0,0.500,"Joonas Korpisalo (11W, 0.893 SV%, 2.90 GAA, 3 SO)",
BOS,Boston Bruins,NHL,,wing,scoring_wing,1,0,1,0,1,0,29.00,1.293,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.750,David Pastrnak,
BOS,Boston Bruins,NHL,,wing,two_way_wing,2,0,2,0,1,1,26.00,0.179,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,4.0,0.500,Cole Koepke; Oliver Wahlstrom,
BOS,Boston Bruins,NHL,,wing,wing_depth,3,1,2,0,1,2,25.93,0.083,,,,,2025-06-01,season_participation,0,0,0.000,,,0,0,0,,,0.000,8.0,0.625,Fabian Lysell; Riley Tufte; Jeffrey Viel,Fabian Lysell
BUF,Buffalo Sabres,AHL,Rochester Americans,center,center_depth,2,1,0,1,1,1,25.20,0.534,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,3.0,0.333,Konsta Helenius; Mason Jobst,Konsta Helenius
BUF,Buffalo Sabres,AHL,Rochester Americans,center,two_way_center,3,2,1,0,0,3,23.07,0.445,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Anton Wahlberg; Riley Fiddler-Schultz; Graham Slaggert,Anton Wahlberg; Riley Fiddler-Schultz
BUF,Buffalo Sabres,AHL,Rochester Americans,defense,defense_depth,2,1,0,1,2,0,28.35,0.159,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,4.5,0.556,Noah Laaouan; Ethan Prow,Noah Laaouan
BUF,Buffalo Sabres,AHL,Rochester Americans,defense,puck_moving_defense,3,0,3,0,1,2,26.43,0.695,,,,,2025-06-01,season_stats,1,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Zach Metsa; Kale Clague; Erik Brännström,
BUF,Buffalo Sabres,AHL,Rochester Americans,defense,two_way_defense,3,2,1,0,1,2,23.10,0.307,,,,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.000,Vsevolod Komarov; Nikita Novikov; Jack Rathbone,Vsevolod Komarov; Nikita Novikov
BUF,Buffalo Sabres,AHL,Rochester Americans,goalie,depth_goalie,1,0,0,1,0,0,32.70,0.000,0.893,2.83,5,,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Michael Houser (5W, 0.893 SV%, 2.83 GAA)",
BUF,Buffalo Sabres,AHL,Rochester Americans,goalie,starter_goalie,1,1,0,0,0,0,23.40,0.071,0.919,2.20,25,7,2025-06-01,season_stats,0,0,0.000,,,0,0,0,,,0.000,1.5,0.333,"Devon Levi (25W, 0.919 SV%, 2.20 GAA, 7 SO)","Devon Levi (25W, 0.919 SV%, 2.20 GAA, 7 SO)"
