player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2026-001-gavin-mckenna,Gavin McKenna,,CAN,LW,,183,77,,nhl_draft_api,2026-1,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-002-ivar-stenberg,Ivar Stenberg,,SWE,LW,,180,86,,nhl_draft_api,2026-2,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-003-caleb-malhotra,Caleb Malhotra,,CAN,C,,188,84,,nhl_draft_api,2026-3,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-004-daxon-rudolph,Daxon Rudolph,,CAN,D,,190,93,,nhl_draft_api,2026-4,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-005-alberts-smits,Alberts Smits,,LVA,D,,190,95,,nhl_draft_api,2026-5,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-006-carson-carels,Carson Carels,,CAN,D,,188,88,,nhl_draft_api,2026-6,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-007-chase-reid,Chase Reid,,USA,D,,190,86,,nhl_draft_api,2026-7,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-008-viggo-bjorck,Viggo Bjorck,,SWE,C,,175,82,,nhl_draft_api,2026-8,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-009-keaton-verhoeff,Keaton Verhoeff,,CAN,D,,193,98,,nhl_draft_api,2026-9,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-010-wyatt-cullen,Wyatt Cullen,,USA,LW,,185,83,,nhl_draft_api,2026-10,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-011-tynan-lawrence,Tynan Lawrence,,CAN,C,,185,83,,nhl_draft_api,2026-11,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-012-alexander-command,Alexander Command,,SWE,C,,185,85,,nhl_draft_api,2026-12,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-013-malte-gustafsson,Malte Gustafsson,,SWE,D,,196,92,,nhl_draft_api,2026-13,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-014-oscar-hemming,Oscar Hemming,,FIN,LW,,193,93,,nhl_draft_api,2026-14,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-015-nikita-klepov,Nikita Klepov,,USA,RW,,183,84,,nhl_draft_api,2026-15,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-016-maddox-dagenais,Maddox Dagenais,,CAN,C,,193,90,,nhl_draft_api,2026-16,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-017-ethan-belchetz,Ethan Belchetz,,CAN,LW,,196,104,,nhl_draft_api,2026-17,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-018-oliver-suvanto,Oliver Suvanto,,FIN,C,,190,97,,nhl_draft_api,2026-18,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-019-elton-hermansson,Elton Hermansson,,SWE,RW,,185,83,,nhl_draft_api,2026-19,https://api-web.nhle.com/v1/draft/picks/2026/all
2026-020-ilia-morozov,Ilia Morozov,,RUS,C,,190,93,,nhl_draft_api,2026-20,https://api-web.nhle.com/v1/draft/picks/2026/all
