player_id,name,matched,title,league,team,games,goals,assists,points,regular_season,source_url
2025-001-matthew-schaefer,Matthew Schaefer,false,Matthew Schaefer,OHL,Erie Otters,17,7,15,22,true,https://en.wikipedia.org/wiki/Matthew_Schaefer
2025-002-michael-misa,Michael Misa,false,Michael Misa,OHL,Saginaw Spirit,65,62,72,134,true,https://en.wikipedia.org/wiki/Michael_Misa
2025-002-michael-misa,Michael Misa,false,Michael Misa,OHL,Saginaw Spirit,4,2,1,3,false,https://en.wikipedia.org/wiki/Michael_Misa
2025-003-anton-frondell,Anton Frondell,false,Anton Frondell,J20,Djurgårdens IF,10,5,2,7,true,https://en.wikipedia.org/wiki/Anton_Frondell
2025-003-anton-frondell,Anton Frondell,true,Anton Frondell,Allsv,Djurgårdens IF,29,11,14,25,true,https://en.wikipedia.org/wiki/Anton_Frondell
2025-003-anton-frondell,Anton Frondell,true,Anton Frondell,Allsv,Djurgårdens IF,16,3,4,7,false,https://en.wikipedia.org/wiki/Anton_Frondell
2025-004-caleb-desnoyers,Caleb Desnoyers,false,Caleb Desnoyers,QMJHL,Moncton Wildcats,56,35,49,84,true,https://en.wikipedia.org/wiki/Caleb_Desnoyers
2025-004-caleb-desnoyers,Caleb Desnoyers,false,Caleb Desnoyers,QMJHL,Moncton Wildcats,19,9,21,30,false,https://en.wikipedia.org/wiki/Caleb_Desnoyers
2025-005-brady-martin,Brady Martin,false,Brady Martin,OHL,Sault Ste. Marie Greyhounds,57,33,39,72,true,https://en.wikipedia.org/wiki/Brady_Martin
2025-005-brady-martin,Brady Martin,false,Brady Martin,OHL,Sault Ste. Marie Greyhounds,5,2,2,4,false,https://en.wikipedia.org/wiki/Brady_Martin
2025-006-porter-martone,Porter Martone,false,Porter Martone,OHL,Brampton Steelheads,57,37,61,98,true,https://en.wikipedia.org/wiki/Porter_Martone
2025-006-porter-martone,Porter Martone,false,Porter Martone,OHL,Brampton Steelheads,6,4,5,9,false,https://en.wikipedia.org/wiki/Porter_Martone
2025-007-james-hagens,James Hagens,true,James Hagens,HE,Boston College,37,11,26,37,true,https://en.wikipedia.org/wiki/James_Hagens
2025-011-ben-kindel,Ben Kindel,false,Ben Kindel,WHL,Calgary Hitmen,65,35,64,99,true,https://en.wikipedia.org/wiki/Ben_Kindel
2025-011-ben-kindel,Ben Kindel,false,Ben Kindel,WHL,Calgary Hitmen,11,8,7,15,false,https://en.wikipedia.org/wiki/Ben_Kindel
2025-012-jack-nesbitt,Jack Nesbitt,false,Jack Nesbitt,OHL,Windsor Spitfires,65,25,39,64,true,https://en.wikipedia.org/wiki/Jack_Nesbitt
2025-012-jack-nesbitt,Jack Nesbitt,false,Jack Nesbitt,OHL,Windsor Spitfires,12,1,9,10,false,https://en.wikipedia.org/wiki/Jack_Nesbitt
2025-013-carter-bear,Carter Bear,false,Carter Bear,WHL,Everett Silvertips,56,40,42,82,true,https://en.wikipedia.org/wiki/Carter_Bear
2025-015-braeden-cootes,Braeden Cootes,false,Braeden Cootes,WHL,Seattle Thunderbirds,60,26,37,63,true,https://en.wikipedia.org/wiki/Braeden_Cootes
2025-015-braeden-cootes,Braeden Cootes,false,Braeden Cootes,WHL,Seattle Thunderbirds,6,2,6,8,false,https://en.wikipedia.org/wiki/Braeden_Cootes
2025-018-cole-reschny,Cole Reschny,false,Cole Reschny,WHL,Victoria Royals,62,26,66,92,true,https://en.wikipedia.org/wiki/Cole_Reschny
2025-018-cole-reschny,Cole Reschny,false,Cole Reschny,WHL,Victoria Royals,11,9,16,25,false,https://en.wikipedia.org/wiki/Cole_Reschny
2025-019-justin-carbonneau,Justin Carbonneau,false,Justin Carbonneau,QMJHL,Blainville-Boisbriand Armada,62,46,43,89,true,https://en.wikipedia.org/wiki/Justin_Carbonneau
2025-019-justin-carbonneau,Justin Carbonneau,false,Justin Carbonneau,QMJHL,Blainville-Boisbriand Armada,5,3,0,3,false,https://en.wikipedia.org/wiki/Justin_Carbonneau
2025-021-cameron-reid,Cameron Reid,false,Cameron Reid,OHL,Kitchener Rangers,67,14,40,54,true,https://en.wikipedia.org/wiki/Cameron_Reid
2025-021-cameron-reid,Cameron Reid,false,Cameron Reid,OHL,Kitchener Rangers,14,0,5,5,false,https://en.wikipedia.org/wiki/Cameron_Reid
2025-022-bill-zonnon,Bill Zonnon,false,Bill Zonnon,QMJHL,Rouyn-Noranda Huskies,64,28,55,83,true,https://en.wikipedia.org/wiki/Bill_Zonnon
