player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2025-001-matthew-schaefer,Matthew Schaefer,false,,,,,,,,,
2025-002-michael-misa,Michael Misa,false,,,,,,,,,
2025-003-anton-frondell,Anton Frondell,false,,,,,,,,,
2025-004-caleb-desnoyers,Caleb Desnoyers,false,,,,,,,,,
2025-005-brady-martin,Brady Martin,false,,,,,,,,,
2025-006-porter-martone,Porter Martone,false,,,,,,,,,
2025-007-james-hagens,James Hagens,false,,,,,,,,,
2025-008-jake-o-brien,Jake O'Brien,false,,,,,,,,,
2025-009-radim-mrtka,Radim Mrtka,false,,,,,,,,,
2025-010-roger-mcqueen,Roger McQueen,false,,,,,,,,,
2025-011-ben-kindel,Ben Kindel,false,,,,,,,,,
2025-012-jack-nesbitt,Jack Nesbitt,false,,,,,,,,,
2025-013-carter-bear,Carter Bear,false,,,,,,,,,
2025-014-jackson-smith,Jackson Smith,false,,,,,,,,,
2025-015-braeden-cootes,Braeden Cootes,false,,,,,,,,,
2025-016-victor-eklund,Victor Eklund,false,,,,,,,,,
2025-017-kashawn-aitcheson,Kashawn Aitcheson,false,,,,,,,,,
2025-018-cole-reschny,Cole Reschny,false,,,,,,,,,
2025-019-justin-carbonneau,Justin Carbonneau,false,,,,,,,,,
2025-020-pyotr-andreyanov,Pyotr Andreyanov,false,,,,,,,,,
2025-021-cameron-reid,Cameron Reid,false,,,,,,,,,
2025-022-bill-zonnon,Bill Zonnon,false,,,,,,,,,
2025-023-logan-hensler,Logan Hensler,false,,,,,,,,,
2025-024-will-horcoff,Will Horcoff,false,,,,,,,,,
2025-025-vaclav-nestrasil,Vaclav Nestrasil,true,Vaclav Nestrasil,10343,https://ushl.com/ht/#/player/10343/85/Vaclav%20Nestrasil,MUS,61,19,23,42,true
2025-025-vaclav-nestrasil,Vaclav Nestrasil,true,Vaclav Nestrasil,10343,https://ushl.com/ht/#/player/10343/87/Vaclav%20Nestrasil,MUS,14,7,6,13,false
2025-026-ryker-lee,Ryker Lee,true,Ryker Lee,10389,https://ushl.com/ht/#/player/10389/85/Ryker%20Lee,MAD,58,31,37,68,true
2025-026-ryker-lee,Ryker Lee,true,Ryker Lee,10389,https://ushl.com/ht/#/player/10389/87/Ryker%20Lee,MAD,6,3,3,6,false
2025-027-lynden-lakovic,Lynden Lakovic,false,,,,,,,,,
2025-028-sascha-boumedienne,Sascha Boumedienne,false,,,,,,,,,
2025-029-mason-west,Mason West,false,,,,,,,,,
2025-030-joshua-ravensbergen,Joshua Ravensbergen,false,,,,,,,,,
2025-031-henry-brzustewicz,Henry Brzustewicz,false,,,,,,,,,
2025-032-cullen-potter,Cullen Potter,false,,,,,,,,,
2025-033-haoxi-wang,Haoxi Wang,false,,,,,,,,,
2025-034-alexander-zharovsky,Alexander Zharovsky,false,,,,,,,,,
2025-035-jacob-rombach,Jacob Rombach,true,Jacob Rombach,10119,https://ushl.com/ht/#/player/10119/85/Jacob%20Rombach,LIN,57,3,15,18,true
2025-035-jacob-rombach,Jacob Rombach,true,Jacob Rombach,10119,https://ushl.com/ht/#/player/10119/87/Jacob%20Rombach,LIN,7,0,0,0,false
2025-036-blake-fiddler,Blake Fiddler,false,,,,,,,,,
2025-037-milton-gastrin,Milton Gastrin,false,,,,,,,,,
2025-038-carter-amico,Carter Amico,true,Carter Amico,10258,https://ushl.com/ht/#/player/10258/85/Carter%20Amico,NTDP,4,0,2,2,true
2025-039-peyton-kettles,Peyton Kettles,false,,,,,,,,,
2025-040-jack-murtagh,Jack Murtagh,true,Jack Murtagh,10242,https://ushl.com/ht/#/player/10242/85/Jack%20Murtagh,NTDP,24,7,11,18,true
2025-041-semyon-frolov,Semyon Frolov,false,,,,,,,,,
2025-042-daniil-prokhorov,Daniil Prokhorov,false,,,,,,,,,
2025-043-malcolm-spence,Malcolm Spence,false,,,,,,,,,
2025-044-eddie-genborg,Eddie Genborg,false,,,,,,,,,
2025-045-eric-nilson,Eric Nilson,false,,,,,,,,,
2025-046-max-psenicka,Max Psenicka,false,,,,,,,,,
2025-047-alexei-medvedev,Alexei Medvedev,false,,,,,,,,,
2025-048-shane-vansaghi,Shane Vansaghi,false,,,,,,,,,
2025-049-charlie-cerrato,Charlie Cerrato,false,,,,,,,,,
2025-050-conrad-fondrk,Conrad Fondrk,true,Conrad Fondrk,10239,https://ushl.com/ht/#/player/10239/85/Conrad%20Fondrk,NTDP,15,6,6,12,true
2025-051-william-moore,William Moore,false,,,,,,,,,
2025-052-theodor-hallquisth,Theodor Hallquisth,false,,,,,,,,,
2025-053-cole-mckinney,Cole McKinney,true,Cole McKinney,10249,https://ushl.com/ht/#/player/10249/85/Cole%20McKinney,NTDP,23,15,11,26,true
2025-054-theo-stockselius,Theo Stockselius,false,,,,,,,,,
2025-055-jakob-ihs-wozniak,Jakob Ihs-Wozniak,false,,,,,,,,,
2025-056-ethan-czata,Ethan Czata,false,,,,,,,,,
2025-057-matthew-gard,Matthew Gard,false,,,,,,,,,
2025-058-jack-ivankovic,Jack Ivankovic,false,,,,,,,,,
2025-059-vojtech-cihar,Vojtech Cihar,false,,,,,,,,,
2025-060-lasse-boelius,Lasse Boelius,false,,,,,,,,,
2025-061-liam-pettersson,Liam Pettersson,false,,,,,,,,,
2025-062-ivan-ryabkin,Ivan Ryabkin,true,Ivan Ryabkin,10644,https://ushl.com/ht/#/player/10644/85/Ivan%20Ryabkin,MUS,27,19,11,30,true
2025-062-ivan-ryabkin,Ivan Ryabkin,true,Ivan Ryabkin,10644,https://ushl.com/ht/#/player/10644/87/Ivan%20Ryabkin,MUS,14,7,9,16,false
2025-063-ben-kevan,Ben Kevan,true,Ben Kevan,10065,https://ushl.com/ht/#/player/10065/85/Ben%20Kevan,DM,51,13,30,43,true
2025-064-tinus-luc-koblar,Tinus Luc Koblar,false,,,,,,,,,
2025-065-kieren-dervin,Kieren Dervin,false,,,,,,,,,
2025-066-nathan-behm,Nathan Behm,false,,,,,,,,,
2025-067-kurban-limatov,Kurban Limatov,false,,,,,,,,,
2025-068-will-reynolds,Will Reynolds,false,,,,,,,,,
2025-069-hayden-paupanekis,Hayden Paupanekis,false,,,,,,,,,
2025-070-sean-barnhill,Sean Barnhill,true,Sean Barnhill,10362,https://ushl.com/ht/#/player/10362/85/Sean%20Barnhill,DBQ,54,4,8,12,true
2025-070-sean-barnhill,Sean Barnhill,true,Sean Barnhill,10362,https://ushl.com/ht/#/player/10362/87/Sean%20Barnhill,DBQ,7,0,1,1,false
2025-071-david-bedkowski,David Bedkowski,false,,,,,,,,,
2025-072-noah-read,Noah Read,false,,,,,,,,,
2025-073-charlie-trethewey,Charlie Trethewey,true,Charlie Trethewey,10259,https://ushl.com/ht/#/player/10259/85/Charlie%20Trethewey,NTDP,24,2,7,9,true
2025-074-luca-romano,Luca Romano,false,,,,,,,,,
2025-075-michal-pradel,Michal Pradel,true,Michal Pradel,10715,https://ushl.com/ht/#/player/10715/85/Michal%20Pradel,TC,14,0,0,0,true
2025-075-michal-pradel,Michal Pradel,true,Michal Pradel,10715,https://ushl.com/ht/#/player/10715/87/Michal%20Pradel,TC,1,0,0,0,false
2025-076-malte-vass,Malte Vass,false,,,,,,,,,
2025-077-francesco-dell-elce,Francesco Dell'Elce,false,,,,,,,,,
2025-078-stepan-hoch,Stepan Hoch,false,,,,,,,,,
2025-079-cooper-simpson,Cooper Simpson,true,Cooper Simpson,10091,https://ushl.com/ht/#/player/10091/85/Cooper%20Simpson,TC,9,7,1,8,true
2025-079-cooper-simpson,Cooper Simpson,true,Cooper Simpson,10091,https://ushl.com/ht/#/player/10091/87/Cooper%20Simpson,TC,2,0,0,0,false
2025-080-mace-o-phillips,Mace'o Phillips,true,Maceo Phillips,10256,https://ushl.com/ht/#/player/10256/85/Maceo%20Phillips,NTDP,25,2,1,3,true
2025-081-bryce-pickford,Bryce Pickford,false,,,,,,,,,
2025-082-arseni-radkov,Arseni Radkov,false,,,,,,,,,
2025-083-tommy-lafreniere,Tommy Lafreniere,false,,,,,,,,,
2025-084-gabriel-d-aigle,Gabriel D'Aigle,false,,,,,,,,,
2025-085-mateo-nobert,Mateo Nobert,false,,,,,,,,,
2025-086-tyler-hopkins,Tyler Hopkins,false,,,,,,,,,
2025-087-roman-bausov,Roman Bausov,false,,,,,,,,,
2025-088-kristian-epperson,Kristian Epperson,false,,,,,,,,,
2025-089-artyom-gonchar,Artyom Gonchar,false,,,,,,,,,
2025-090-mason-moe,Mason Moe,true,Mason Moe,10219,https://ushl.com/ht/#/player/10219/85/Mason%20Moe,MAD,51,17,26,43,true
2025-090-mason-moe,Mason Moe,true,Mason Moe,10219,https://ushl.com/ht/#/player/10219/87/Mason%20Moe,MAD,6,5,1,6,false
2025-091-brady-peddle,Brady Peddle,true,Brady Peddle,10569,https://ushl.com/ht/#/player/10569/85/Brady%20Peddle,WAT,62,3,7,10,true
2025-091-brady-peddle,Brady Peddle,true,Brady Peddle,10569,https://ushl.com/ht/#/player/10569/87/Brady%20Peddle,WAT,15,1,9,10,false
2025-092-owen-martin,Owen Martin,false,,,,,,,,,
2025-093-blake-vanek,Blake Vanek,false,,,,,,,,,
2025-094-cameron-schmidt,Cameron Schmidt,false,,,,,,,,,
2025-095-teddy-mutryn,Teddy Mutryn,true,Teddy Mutryn,10270,https://ushl.com/ht/#/player/10270/85/Teddy%20Mutryn,NTDP,51,18,14,32,true
2025-096-maxim-schafer,Maxim Schafer,false,,,,,,,,,
2025-097-lucas-beckman,Lucas Beckman,false,,,,,,,,,
2025-098-julius-sumpf,Julius Sumpf,false,,,,,,,,,
2025-099-trenten-bennett,Trenten Bennett,false,,,,,,,,,
2025-100-vashek-blanar,Vashek Blanar,false,,,,,,,,,
2025-101-drew-schock,Drew Schock,false,,,,,,,,,
2025-102-adam-benak,Adam Benak,false,,,,,,,,,
2025-103-matous-kucharcik,Matous Kucharcik,false,,,,,,,,,
2025-104-elijah-neuenschwander,Elijah Neuenschwander,false,,,,,,,,,
2025-105-travis-hayes,Travis Hayes,false,,,,,,,,,
2025-106-tomas-poletin,Tomas Poletin,false,,,,,,,,,
2025-107-parker-holmes,Parker Holmes,false,,,,,,,,,
2025-108-benjamin-rautiainen,Benjamin Rautiainen,false,,,,,,,,,
2025-109-brent-solomon,Brent Solomon,true,Brent Solomon,10754,https://ushl.com/ht/#/player/10754/85/Brent%20Solomon,SF,8,4,2,6,true
2025-109-brent-solomon,Brent Solomon,true,Brent Solomon,10754,https://ushl.com/ht/#/player/10754/87/Brent%20Solomon,SF,2,0,0,0,false
2025-110-yegor-borikov,Yegor Borikov,false,,,,,,,,,
2025-111-mikkel-eriksen,Mikkel Eriksen,false,,,,,,,,,
2025-112-mads-kongsbak-klyvo,Mads Kongsbak Klyvo,false,,,,,,,,,
2025-113-l-j-mooney,L.J. Mooney,true,LJ Mooney,10241,https://ushl.com/ht/#/player/10241/85/LJ%20Mooney,NTDP,26,5,23,28,true
2025-114-gustav-hillstrom,Gustav Hillstrom,false,,,,,,,,,
2025-115-ilyas-magomedsultanov,Ilyas Magomedsultanov,false,,,,,,,,,
2025-116-samuel-meloche,Samuel Meloche,false,,,,,,,,,
2025-117-david-lewandowski,David Lewandowski,false,,,,,,,,,
2025-118-linus-funck,Linus Funck,false,,,,,,,,,
2025-119-michal-svrcek,Michal Svrcek,false,,,,,,,,,
2025-120-caeden-herrington,Caeden Herrington,true,Caeden Herrington,10322,https://ushl.com/ht/#/player/10322/85/Caeden%20Herrington,LIN,56,16,18,34,true
2025-120-caeden-herrington,Caeden Herrington,true,Caeden Herrington,10322,https://ushl.com/ht/#/player/10322/87/Caeden%20Herrington,LIN,7,0,2,2,false
2025-121-lirim-amidovski,Lirim Amidovski,false,,,,,,,,,
2025-122-alex-huang,Alex Huang,false,,,,,,,,,
2025-123-carter-klippenstein,Carter Klippenstein,false,,,,,,,,,
2025-124-zack-sharp,Zack Sharp,false,,,,,,,,,
2025-125-jimmy-lombardi,Jimmy Lombardi,false,,,,,,,,,
2025-126-brandon-gorzynski,Brandon Gorzynski,false,,,,,,,,,
2025-127-aiden-foster,Aiden Foster,false,,,,,,,,,
2025-128-shea-busch,Shea Busch,false,,,,,,,,,
2025-129-shamar-moses,Shamar Moses,false,,,,,,,,,
2025-130-ryan-miller,Ryan Miller,false,,,,,,,,,
2025-131-asher-barnett,Asher Barnett,true,Asher Barnett,10237,https://ushl.com/ht/#/player/10237/85/Asher%20Barnett,NTDP,21,3,3,6,true
2025-132-max-westergard,Max Westergard,false,,,,,,,,,
2025-133-cole-chandler,Cole Chandler,false,,,,,,,,,
2025-134-maxim-agafonov,Maxim Agafonov,false,,,,,,,,,
2025-135-noah-laberge,Noah Laberge,false,,,,,,,,,
2025-136-alexis-mathieu,Alexis Mathieu,false,,,,,,,,,
2025-137-william-belle,William Belle,false,,,,,,,,,
