player_id,tool,grade,source,source_id,source_url
2025-001-matthew-schaefer,skating,8.0,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-001-matthew-schaefer,shooting,7.0,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-001-matthew-schaefer,passing,7.5,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-001-matthew-schaefer,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-001-matthew-schaefer,sense,7.5,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-001-matthew-schaefer,physical,6.0,eliteprospects_pdf,2025-ep-pdf-page-29,Draft25.pdf#page=29
2025-002-michael-misa,skating,7.0,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-002-michael-misa,shooting,7.0,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-002-michael-misa,passing,7.0,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-002-michael-misa,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-002-michael-misa,sense,7.5,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-002-michael-misa,physical,6.5,eliteprospects_pdf,2025-ep-pdf-page-47,Draft25.pdf#page=47
2025-006-porter-martone,skating,5.0,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-006-porter-martone,shooting,7.0,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-006-porter-martone,passing,8.0,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-006-porter-martone,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-006-porter-martone,sense,8.0,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-006-porter-martone,physical,5.5,eliteprospects_pdf,2025-ep-pdf-page-64,Draft25.pdf#page=64
2025-007-james-hagens,skating,7.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-007-james-hagens,shooting,6.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-007-james-hagens,passing,7.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-007-james-hagens,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-007-james-hagens,sense,7.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-007-james-hagens,physical,5.0,eliteprospects_pdf,2025-ep-pdf-page-86,Draft25.pdf#page=86
2025-010-roger-mcqueen,skating,5.0,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-010-roger-mcqueen,shooting,6.5,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-010-roger-mcqueen,passing,7.0,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-010-roger-mcqueen,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-010-roger-mcqueen,sense,7.0,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-010-roger-mcqueen,physical,6.5,eliteprospects_pdf,2025-ep-pdf-page-104,Draft25.pdf#page=104
2025-014-jackson-smith,skating,7.0,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-014-jackson-smith,shooting,5.5,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-014-jackson-smith,passing,6.5,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-014-jackson-smith,handling,6.5,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-014-jackson-smith,sense,6.5,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-014-jackson-smith,physical,6.5,eliteprospects_pdf,2025-ep-pdf-page-114,Draft25.pdf#page=114
2025-004-caleb-desnoyers,skating,4.5,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-004-caleb-desnoyers,shooting,6.0,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-004-caleb-desnoyers,passing,7.0,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-004-caleb-desnoyers,handling,6.0,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-004-caleb-desnoyers,sense,7.0,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-004-caleb-desnoyers,physical,6.5,eliteprospects_pdf,2025-ep-pdf-page-127,Draft25.pdf#page=127
2025-013-carter-bear,skating,5.0,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-013-carter-bear,shooting,5.5,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-013-carter-bear,passing,7.0,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-013-carter-bear,handling,5.5,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-013-carter-bear,sense,7.0,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-013-carter-bear,physical,7.0,eliteprospects_pdf,2025-ep-pdf-page-144,Draft25.pdf#page=144
2025-016-victor-eklund,skating,6.5,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-016-victor-eklund,shooting,5.5,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-016-victor-eklund,passing,6.5,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-016-victor-eklund,handling,5.5,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-016-victor-eklund,sense,6.5,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-016-victor-eklund,physical,6.0,eliteprospects_pdf,2025-ep-pdf-page-154,Draft25.pdf#page=154
2025-008-jake-o-brien,skating,5.0,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-008-jake-o-brien,shooting,4.5,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-008-jake-o-brien,passing,8.0,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-008-jake-o-brien,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-008-jake-o-brien,sense,6.5,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-008-jake-o-brien,physical,5.0,eliteprospects_pdf,2025-ep-pdf-page-173,Draft25.pdf#page=173
2025-019-justin-carbonneau,skating,6.5,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-019-justin-carbonneau,shooting,7.0,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-019-justin-carbonneau,passing,6.0,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-019-justin-carbonneau,handling,7.0,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-019-justin-carbonneau,sense,6.0,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-019-justin-carbonneau,physical,5.5,eliteprospects_pdf,2025-ep-pdf-page-188,Draft25.pdf#page=188
2025-005-brady-martin,skating,4.5,eliteprospects_pdf,2025-ep-pdf-page-204,Draft25.pdf#page=204
2025-005-brady-martin,shooting,6.5,eliteprospects_pdf,2025-ep-pdf-page-204,Draft25.pdf#page=204
