player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2017-001-nico-hischier,Nico Hischier,,CHE,C,,185,81,,nhl_draft_api,2017-1,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-002-nolan-patrick,Nolan Patrick,,CAN,C,,188,90,,nhl_draft_api,2017-2,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-003-miro-heiskanen,Miro Heiskanen,,FIN,D,,183,78,,nhl_draft_api,2017-3,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-004-cale-makar,Cale Makar,,CAN,D,,180,85,,nhl_draft_api,2017-4,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-005-elias-pettersson,Elias Pettersson,,SWE,C,,185,75,,nhl_draft_api,2017-5,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-006-cody-glass,Cody Glass,,CAN,C,,185,81,,nhl_draft_api,2017-6,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-007-lias-andersson,Lias Andersson,,SWE,C,,180,91,,nhl_draft_api,2017-7,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-008-casey-mittelstadt,Casey Mittelstadt,,USA,C,,180,90,,nhl_draft_api,2017-8,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-009-michael-rasmussen,Michael Rasmussen,,CAN,C,,196,100,,nhl_draft_api,2017-9,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-010-owen-tippett,Owen Tippett,,CAN,RW,,183,92,,nhl_draft_api,2017-10,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-011-gabriel-vilardi,Gabriel Vilardi,,CAN,C,,188,92,,nhl_draft_api,2017-11,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-012-martin-necas,Martin Necas,,CZE,C,,185,81,,nhl_draft_api,2017-12,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-013-nick-suzuki,Nick Suzuki,,CAN,C,,180,83,,nhl_draft_api,2017-13,https://api-web.nhle.com/v1/draft/picks/2017/all
