player_id,draft_year,team_id,team_name,round_number,overall_pick,drafted_from_team,drafted_from_league,source,source_id,source_url
2020-001-alexis-lafreni-re,2020,NYR,New York Rangers,1,1,Rimouski,QMJHL,nhl_draft_api,2020-1,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-002-quinton-byfield,2020,LAK,Los Angeles Kings,1,2,Sudbury,OHL,nhl_draft_api,2020-2,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-003-tim-st-tzle,2020,OTT,Ottawa Senators,1,3,Mannheim,GERMANY,nhl_draft_api,2020-3,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-004-lucas-raymond,2020,DET,Detroit Red Wings,1,4,Frolunda,SWEDEN,nhl_draft_api,2020-4,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-005-jake-sanderson,2020,OTT,Ottawa Senators,1,5,USA U-18,USHL,nhl_draft_api,2020-5,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-006-jamie-drysdale,2020,ANA,Anaheim Ducks,1,6,Erie,OHL,nhl_draft_api,2020-6,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-007-alexander-holtz,2020,NJD,New Jersey Devils,1,7,Djurgarden,SWEDEN,nhl_draft_api,2020-7,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-008-jack-quinn,2020,BUF,Buffalo Sabres,1,8,Ottawa,OHL,nhl_draft_api,2020-8,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-009-marco-rossi,2020,MIN,Minnesota Wild,1,9,Ottawa,OHL,nhl_draft_api,2020-9,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-010-cole-perfetti,2020,WPG,Winnipeg Jets,1,10,Saginaw,OHL,nhl_draft_api,2020-10,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-011-yaroslav-askarov,2020,NSH,Nashville Predators,1,11,Neva St. Petersburg,RUSSIA-2,nhl_draft_api,2020-11,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-012-anton-lundell,2020,FLA,Florida Panthers,1,12,HIFK,FINLAND,nhl_draft_api,2020-12,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-013-seth-jarvis,2020,CAR,Carolina Hurricanes,1,13,Portland,WHL,nhl_draft_api,2020-13,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-014-dylan-holloway,2020,EDM,Edmonton Oilers,1,14,Wisconsin,NCAA,nhl_draft_api,2020-14,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-015-rodion-amirov,2020,TOR,Toronto Maple Leafs,1,15,Ufa,RUSSIA,nhl_draft_api,2020-15,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-016-kaiden-guhle,2020,MTL,Montréal Canadiens,1,16,Prince Albert,WHL,nhl_draft_api,2020-16,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-017-lukas-reichel,2020,CHI,Chicago Blackhawks,1,17,Eisbaren Berlin,GERMANY,nhl_draft_api,2020-17,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-018-dawson-mercer,2020,NJD,New Jersey Devils,1,18,Chicoutimi,QMJHL,nhl_draft_api,2020-18,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-019-braden-schneider,2020,NYR,New York Rangers,1,19,Brandon,WHL,nhl_draft_api,2020-19,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-020-shakir-mukhamadullin,2020,NJD,New Jersey Devils,1,20,Ufa,RUSSIA,nhl_draft_api,2020-20,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-021-egor-chinakhov,2020,CBJ,Columbus Blue Jackets,1,21,Omsk 2,Russia Jr.,nhl_draft_api,2020-21,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-022-hendrix-lapierre,2020,WSH,Washington Capitals,1,22,Chicoutimi,QMJHL,nhl_draft_api,2020-22,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-023-tyson-foerster,2020,PHI,Philadelphia Flyers,1,23,Barrie,OHL,nhl_draft_api,2020-23,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-024-connor-zary,2020,CGY,Calgary Flames,1,24,Kamloops,WHL,nhl_draft_api,2020-24,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-025-justin-barron,2020,COL,Colorado Avalanche,1,25,Halifax,QMJHL,nhl_draft_api,2020-25,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-026-jake-neighbours,2020,STL,St. Louis Blues,1,26,Edmonton,WHL,nhl_draft_api,2020-26,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-027-jacob-perreault,2020,ANA,Anaheim Ducks,1,27,Sarnia,OHL,nhl_draft_api,2020-27,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-028-ridly-greig,2020,OTT,Ottawa Senators,1,28,Brandon,WHL,nhl_draft_api,2020-28,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-029-brendan-brisson,2020,VGK,Vegas Golden Knights,1,29,Chicago,USHL,nhl_draft_api,2020-29,https://api-web.nhle.com/v1/draft/picks/2020/all
2020-030-mavrik-bourque,2020,DAL,Dallas Stars,1,30,Shawinigan,QMJHL,nhl_draft_api,2020-30,https://api-web.nhle.com/v1/draft/picks/2020/all
