player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-001-nico-hischier,2017,3,2020-06-30,209,135,3634.7,0,,nhl_public_api,8480002,https://api-web.nhle.com/v1/player/8480002/landing
2017-002-nolan-patrick,2017,3,2020-06-30,145,61,2087.3,0,,nhl_public_api,8479974,https://api-web.nhle.com/v1/player/8479974/landing
2017-003-miro-heiskanen,2017,3,2020-06-30,150,68,3511.7,0,,nhl_public_api,8480036,https://api-web.nhle.com/v1/player/8480036/landing
2017-004-cale-makar,2017,3,2020-06-30,57,50,1198.0,0,,nhl_public_api,8480069,https://api-web.nhle.com/v1/player/8480069/landing
2017-005-elias-pettersson,2017,3,2020-06-30,139,132,2554.8,0,,nhl_public_api,8480012,https://api-web.nhle.com/v1/player/8480012/landing
2017-006-cody-glass,2017,3,2020-06-30,39,12,521.3,0,,nhl_public_api,8479996,https://api-web.nhle.com/v1/player/8479996/landing
2017-007-lias-andersson,2017,3,2020-06-30,66,9,696.1,0,,nhl_public_api,8480072,https://api-web.nhle.com/v1/player/8480072/landing
2017-008-casey-mittelstadt,2017,3,2020-06-30,114,39,1515.5,0,,nhl_public_api,8479999,https://api-web.nhle.com/v1/player/8479999/landing
2017-009-michael-rasmussen,2017,3,2020-06-30,62,18,749.2,0,,nhl_public_api,8479992,https://api-web.nhle.com/v1/player/8479992/landing
2017-010-owen-tippett,2017,3,2020-06-30,7,1,77.8,0,,nhl_public_api,8480015,https://api-web.nhle.com/v1/player/8480015/landing
2017-011-gabriel-vilardi,2017,3,2020-06-30,10,7,128.5,0,,nhl_public_api,8480014,https://api-web.nhle.com/v1/player/8480014/landing
2017-012-martin-necas,2017,3,2020-06-30,72,38,983.7,0,,nhl_public_api,8480039,https://api-web.nhle.com/v1/player/8480039/landing
2017-013-nick-suzuki,2017,3,2020-06-30,71,41,1134.8,0,,nhl_public_api,8480018,https://api-web.nhle.com/v1/player/8480018/landing
2017-014-cal-foote,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479984,https://api-web.nhle.com/v1/player/8479984/landing
2017-015-erik-brannstrom,2017,3,2020-06-30,33,4,496.5,0,,nhl_public_api,8480073,https://api-web.nhle.com/v1/player/8480073/landing
2017-016-juuso-v-lim-ki,2017,3,2020-06-30,24,3,371.6,0,,nhl_public_api,8479976,https://api-web.nhle.com/v1/player/8479976/landing
2017-017-timothy-liljegren,2017,3,2020-06-30,11,1,113.3,0,,nhl_public_api,8480043,https://api-web.nhle.com/v1/player/8480043/landing
2017-018-urho-vaakanainen,2017,3,2020-06-30,7,0,102.5,0,,nhl_public_api,8480001,https://api-web.nhle.com/v1/player/8480001/landing
2017-019-josh-norris,2017,3,2020-06-30,3,0,53.8,0,,nhl_public_api,8480064,https://api-web.nhle.com/v1/player/8480064/landing
2017-020-robert-thomas,2017,3,2020-06-30,136,75,1876.1,0,,nhl_public_api,8480023,https://api-web.nhle.com/v1/player/8480023/landing
