player_id,draft_year,team_id,team_name,round_number,overall_pick,drafted_from_team,drafted_from_league,source,source_id,source_url
2019-001-jack-hughes,2019,NJD,New Jersey,1,1,U.S. National Development Team,USHL,hockeydb,2019-001-jack-hughes,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-002-kaapo-kakko,2019,NYR,NY Rangers,1,2,TPS Turku,Liiga,hockeydb,2019-002-kaapo-kakko,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-003-kirby-dach,2019,CHI,Chicago,1,3,Saskatoon Blades,WHL,hockeydb,2019-003-kirby-dach,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-004-bowen-byram,2019,COL,Colorado,1,4,Vancouver Giants,WHL,hockeydb,2019-004-bowen-byram,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-005-alex-turcotte,2019,LAK,Los Angeles,1,5,U.S. National Development Team,USHL,hockeydb,2019-005-alex-turcotte,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-006-moritz-seider,2019,DET,Detroit,1,6,Mannheim Eagles,DEL,hockeydb,2019-006-moritz-seider,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-007-dylan-cozens,2019,BUF,Buffalo,1,7,Lethbridge Hurricanes,WHL,hockeydb,2019-007-dylan-cozens,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-008-philip-broberg,2019,EDM,Edmonton,1,8,AIK,HockeyAllsvenskan,hockeydb,2019-008-philip-broberg,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-009-trevor-zegras,2019,ANA,Anaheim,1,9,U.S. National Development Team,USHL,hockeydb,2019-009-trevor-zegras,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-010-vasili-podkolzin,2019,VAN,Vancouver,1,10,St. Petersburg,Russia Jr.,hockeydb,2019-010-vasili-podkolzin,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-011-victor-soderstrom,2019,ARI,Arizona,1,11,Brynas IF Gavle,SHL,hockeydb,2019-011-victor-soderstrom,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-012-matthew-boldy,2019,MIN,Minnesota,1,12,U.S. National Development Team,USHL,hockeydb,2019-012-matthew-boldy,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-013-spencer-knight,2019,FLA,Florida,1,13,U.S. National Development Team,USHL,hockeydb,2019-013-spencer-knight,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-014-cam-york,2019,PHI,Philadelphia,1,14,U.S. National Development Team,USHL,hockeydb,2019-014-cam-york,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-015-cole-caufield,2019,MTL,Montreal,1,15,U.S. National Development Team,USHL,hockeydb,2019-015-cole-caufield,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-016-alex-newhook,2019,COL,Colorado,1,16,Victoria Grizzlies,BCHL,hockeydb,2019-016-alex-newhook,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-017-peyton-krebs,2019,VGK,Vegas,1,17,Kootenay Ice,WHL,hockeydb,2019-017-peyton-krebs,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-018-thomas-harley,2019,DAL,Dallas,1,18,Mississauga Steelheads,OHL,hockeydb,2019-018-thomas-harley,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-019-lassi-thomson,2019,OTT,Ottawa,1,19,Kelowna Rockets,WHL,hockeydb,2019-019-lassi-thomson,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-020-ville-heinola,2019,WPG,Winnipeg,1,20,Lukko Rauma,Liiga,hockeydb,2019-020-ville-heinola,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-021-samuel-poulin,2019,PIT,Pittsburgh,1,21,Sherbrooke Phoenix,QMJHL,hockeydb,2019-021-samuel-poulin,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-022-tobias-bjornfot,2019,LAK,Los Angeles,1,22,Djurgarden,Sweden Jrs.,hockeydb,2019-022-tobias-bjornfot,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-023-simon-holmstrom,2019,NYI,NY Islanders,1,23,HV71,Sweden Jrs.,hockeydb,2019-023-simon-holmstrom,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-024-philip-tomasino,2019,NSH,Nashville,1,24,Niagara IceDogs,OHL,hockeydb,2019-024-philip-tomasino,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-025-connor-mcmichael,2019,WSH,Washington,1,25,London Knights,OHL,hockeydb,2019-025-connor-mcmichael,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
2019-026-jakob-pelletier,2019,CGY,Calgary,1,26,Moncton Wildcats,QMJHL,hockeydb,2019-026-jakob-pelletier,https://www.hockeydb.com/ihdb/draft/nhl2019e.html
