player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2019-001-jack-hughes,Jack Hughes,2001-05-14,,C,L,180,79,18.1,hockeydb,2019-001-jack-hughes,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209479
2019-002-kaapo-kakko,Kaapo Kakko,2001-02-13,,RW,L,185,98,18.35,hockeydb,2019-002-kaapo-kakko,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=211199
2019-003-kirby-dach,Kirby Dach,2001-01-21,,C,R,193,100,18.41,hockeydb,2019-003-kirby-dach,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=197655
2019-004-bowen-byram,Bowen Byram,2001-06-13,,D,L,185,93,18.02,hockeydb,2019-004-bowen-byram,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=196997
2019-005-alex-turcotte,Alex Turcotte,2001-02-26,,C,L,180,88,18.31,hockeydb,2019-005-alex-turcotte,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209490
2019-006-moritz-seider,Moritz Seider,2001-04-06,,D,R,188,95,18.21,hockeydb,2019-006-moritz-seider,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=212672
2019-007-dylan-cozens,Dylan Cozens,2001-02-09,,C,R,191,93,18.36,hockeydb,2019-007-dylan-cozens,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=197770
2019-008-philip-broberg,Philip Broberg,2001-06-25,,D,L,193,95,17.99,hockeydb,2019-008-philip-broberg,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=218397
2019-009-trevor-zegras,Trevor Zegras,2001-03-20,,C,L,183,84,18.25,hockeydb,2019-009-trevor-zegras,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209486
2019-010-vasili-podkolzin,Vasili Podkolzin,2001-06-24,,RW,L,185,86,17.99,hockeydb,2019-010-vasili-podkolzin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=218396
2019-011-victor-soderstrom,Victor Soderstrom,2001-02-26,,D,R,183,86,18.31,hockeydb,2019-011-victor-soderstrom,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=218249
2019-012-matthew-boldy,Matthew Boldy,2001-04-05,,LW,L,188,91,18.21,hockeydb,2019-012-matthew-boldy,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209491
2019-013-spencer-knight,Spencer Knight,2001-04-19,,G,,191,87,18.17,hockeydb,2019-013-spencer-knight,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209480
2019-014-cam-york,Cam York,2001-01-05,,D,L,183,88,18.46,hockeydb,2019-014-cam-york,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209485
2019-015-cole-caufield,Cole Caufield,2001-01-02,,RW,R,173,79,18.46,hockeydb,2019-015-cole-caufield,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209488
2019-016-alex-newhook,Alex Newhook,2001-01-28,,C,L,180,91,18.39,hockeydb,2019-016-alex-newhook,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=200446
2019-017-peyton-krebs,Peyton Krebs,2001-01-26,,C,L,183,85,18.4,hockeydb,2019-017-peyton-krebs,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=197782
2019-018-thomas-harley,Thomas Harley,2001-08-19,,D,L,191,97,17.84,hockeydb,2019-018-thomas-harley,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=208563
2019-019-lassi-thomson,Lassi Thomson,2000-09-24,,D,R,183,88,18.74,hockeydb,2019-019-lassi-thomson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=216664
2019-020-ville-heinola,Ville Heinola,2001-03-02,,D,L,183,82,18.3,hockeydb,2019-020-ville-heinola,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=217206
2019-021-samuel-poulin,Samuel Poulin,2001-02-25,,RW,L,188,97,18.32,hockeydb,2019-021-samuel-poulin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209007
2019-022-tobias-bjornfot,Tobias Bjornfot,2001-04-06,,D,L,183,91,18.21,hockeydb,2019-022-tobias-bjornfot,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=222896
2019-023-simon-holmstrom,Simon Holmstrom,2001-05-24,,RW,L,185,94,18.08,hockeydb,2019-023-simon-holmstrom,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=213309
2019-024-philip-tomasino,Philip Tomasino,2001-07-28,,RW,R,183,85,17.9,hockeydb,2019-024-philip-tomasino,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=208686
2019-025-connor-mcmichael,Connor McMichael,2001-01-15,,C,L,183,82,18.43,hockeydb,2019-025-connor-mcmichael,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=196952
2019-026-jakob-pelletier,Jakob Pelletier,2001-03-07,,LW,L,178,78,18.29,hockeydb,2019-026-jakob-pelletier,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209005
2019-027-nolan-foote,Nolan Foote,2000-11-29,,LW,L,191,91,18.56,hockeydb,2019-027-nolan-foote,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=196897
2019-028-ryan-suzuki,Ryan Suzuki,2001-05-28,,C,L,185,86,18.06,hockeydb,2019-028-ryan-suzuki,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=208485
2019-029-brayden-tracey,Brayden Tracey,2001-05-28,,LW,L,183,76,18.06,hockeydb,2019-029-brayden-tracey,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=213361
2019-030-john-beecher,John Beecher,2001-04-05,,C,L,191,100,18.21,hockeydb,2019-030-john-beecher,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=209481
2019-031-ryan-johnson,Ryan Johnson,2001-07-24,,D,L,185,88,17.91,hockeydb,2019-031-ryan-johnson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=217060
2019-032-shane-pinto,Shane Pinto,2000-11-12,,C,R,191,93,18.6,hockeydb,2019-032-shane-pinto,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=217084
2019-033-arthur-kaliyev,Arthur Kaliyev,2001-06-26,,RW,L,188,96,17.98,hockeydb,2019-033-arthur-kaliyev,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=208689
2019-034-bobby-brink,Bobby Brink,2001-07-08,,RW,R,173,77,17.95,hockeydb,2019-034-bobby-brink,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=213331
