name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url
Milton Gastrin,2023-24,Sweden Jrs.,MoDo Jr.,41,7,9,16,true,hockeydb,Milton Gastrin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268824
Milton Gastrin,2024-25,Sweden Jrs.,MoDo Jr.,40,18,24,42,true,hockeydb,Milton Gastrin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268824
Milton Gastrin,2024-25,SHL,MoDo Hockey Ornskoldsvik,8,0,0,0,true,hockeydb,Milton Gastrin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268824
Eric Nilson,2023-24,Sweden Jrs.,Orebro HK Jr.,29,6,9,15,true,hockeydb,Eric Nilson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268677
Eric Nilson,2024-25,Sweden Jrs.,Djurgardens Jr.,37,12,26,38,true,hockeydb,Eric Nilson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268677
Eric Nilson,2024-25,Sweden Jrs.,Djurgardens Jr.,9,6,7,13,false,hockeydb,Eric Nilson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268677
Eric Nilson,2024-25,HockeyAllsvenskan,Djurgardens IF,4,0,1,1,true,hockeydb,Eric Nilson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268677
Theodor Hallquisth,2023-24,Sweden Jrs.,Orebro HK Jr.,3,0,0,0,true,hockeydb,Theodor Hallquisth,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273099
Theodor Hallquisth,2024-25,Sweden Jrs.,Orebro HK Jr.,41,5,17,22,true,hockeydb,Theodor Hallquisth,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273099
Theodor Hallquisth,2024-25,Sweden Jrs.,Orebro HK Jr.,4,2,3,5,false,hockeydb,Theodor Hallquisth,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273099
Theodor Hallquisth,2024-25,SHL,Orebro HK,12,0,0,0,true,hockeydb,Theodor Hallquisth,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=273099
Theo Stockselius,2023-24,Sweden Jrs.,Djurgardens Jr.,2,0,1,1,true,hockeydb,Theo Stockselius,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=274037
Theo Stockselius,2024-25,Sweden Jrs.,Djurgardens Jr.,40,22,29,51,true,hockeydb,Theo Stockselius,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=274037
Theo Stockselius,2024-25,Sweden Jrs.,Djurgardens Jr.,9,8,8,16,false,hockeydb,Theo Stockselius,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=274037
Liam Pettersson,2023-24,Sweden Jrs.,Vaxjo Lakers Jr.,3,0,1,1,true,hockeydb,Liam Pettersson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272544
Liam Pettersson,2024-25,Sweden Jrs.,Vaxjo Lakers Jr.,39,6,15,21,true,hockeydb,Liam Pettersson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272544
Liam Pettersson,2024-25,SHL,Vaxjo HC,5,0,0,0,true,hockeydb,Liam Pettersson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272544
Tomas Poletin,2024-25,Liiga,Pelicans,15,0,0,0,true,hockeydb,Tomas Poletin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=289502
Benjamin Rautiainen,2023-24,Liiga,Tappara Tampere,3,1,0,1,true,hockeydb,Benjamin Rautiainen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=266362
Benjamin Rautiainen,2024-25,Liiga,Tappara Tampere,50,10,23,33,true,hockeydb,Benjamin Rautiainen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=266362
Benjamin Rautiainen,2024-25,Liiga,Tappara Tampere,9,2,2,4,false,hockeydb,Benjamin Rautiainen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=266362
Mikkel Eriksen,2023-24,Sweden Jrs.,Orebro HK Jr.,6,1,0,1,true,hockeydb,Mikkel Eriksen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268664
Mikkel Eriksen,2024-25,Sweden Jrs.,Farjestads Jr.,40,22,21,43,true,hockeydb,Mikkel Eriksen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268664
Mikkel Eriksen,2024-25,Sweden Jrs.,Farjestads Jr.,2,1,1,2,false,hockeydb,Mikkel Eriksen,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=268664
