source_id,enabled,draft_year,adapter,league,season,stage,source_url,cache_path,source_label
2014-ohl-playoffs,false,2014,chl,OHL,2013-14,playoffs,https://chl.ca/ohl/stats/players/50/all/points,data/raw/cache/chl_stats/ohl_2013_14_s50_playoffs_players.html,chl
2014-ohl-regular,false,2014,chl,OHL,2013-14,regular,https://chl.ca/ohl/stats/players/49/all/points,data/raw/cache/chl_stats/ohl_2013_14_s49_regular_players.html,chl
2014-qmjhl-playoffs,false,2014,chl,QMJHL,2013-14,playoffs,https://chl.ca/lhjmq/en/stats/players/176/all/points,data/raw/cache/chl_stats/qmjhl_2013_14_s176_playoffs_players.html,chl
2014-qmjhl-regular,false,2014,chl,QMJHL,2013-14,regular,https://chl.ca/lhjmq/en/stats/players/175/all/points,data/raw/cache/chl_stats/qmjhl_2013_14_s175_regular_players.html,chl
2014-whl-playoffs,false,2014,chl,WHL,2013-14,playoffs,https://chl.ca/whl/stats/players/246/all/points,data/raw/cache/chl_stats/whl_2013_14_s246_playoffs_players.html,chl
2014-whl-regular,false,2014,chl,WHL,2013-14,regular,https://chl.ca/whl/stats/players/245/all/points,data/raw/cache/chl_stats/whl_2013_14_s245_regular_players.html,chl
2014-ncaa-uscho-combined,true,2014,ncaa,NCAA,2013-14,regular,https://www.uscho.com/stats/overall/division-i-men/2013-2014,data/raw/cache/ncaa_stats/ncaa_2013_14_uscho.html,uscho:combined
2014-russia-reviewed-open-stats,true,2014,open_csv,,2013-14,regular,,data/reference/russian_open_stats_2014.csv,reviewed-russian-open-stats
2014-ushl-playoffs-goalies,true,2014,ushl,USHL,2013-14,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=43&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2013_14_s43_playoffs_goalies.json,43:goalies
2014-ushl-playoffs-skaters,true,2014,ushl,USHL,2013-14,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=43&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2013_14_s43_playoffs_skaters.json,43:skaters
2014-ushl-regular-goalies,true,2014,ushl,USHL,2013-14,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=42&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2013_14_s42_regular_goalies.json,42:goalies
2014-ushl-regular-skaters,true,2014,ushl,USHL,2013-14,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=42&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2013_14_s42_regular_skaters.json,42:skaters
2015-ohl-playoffs,false,2015,chl,OHL,2014-15,playoffs,https://chl.ca/ohl/stats/players/52/all/points,data/raw/cache/chl_stats/ohl_2014_15_s52_playoffs_players.html,chl
2015-ohl-regular,false,2015,chl,OHL,2014-15,regular,https://chl.ca/ohl/stats/players/51/all/points,data/raw/cache/chl_stats/ohl_2014_15_s51_regular_players.html,chl
2015-qmjhl-playoffs,false,2015,chl,QMJHL,2014-15,playoffs,https://chl.ca/lhjmq/en/stats/players/179/all/points,data/raw/cache/chl_stats/qmjhl_2014_15_s179_playoffs_players.html,chl
2015-qmjhl-regular,false,2015,chl,QMJHL,2014-15,regular,https://chl.ca/lhjmq/en/stats/players/178/all/points,data/raw/cache/chl_stats/qmjhl_2014_15_s178_regular_players.html,chl
2015-whl-playoffs,false,2015,chl,WHL,2014-15,playoffs,https://chl.ca/whl/stats/players/250/all/points,data/raw/cache/chl_stats/whl_2014_15_s250_playoffs_players.html,chl
