name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Anton Silayev,2023-24,KHL,Torpedo Nizhny Novgorod,63,3,8,11,true,wikipedia-career,2024-khl-regular-anton-silayev,https://en.wikipedia.org/wiki/Anton_Silayev,,,,,,,,,,
Anton Silayev,2023-24,KHL,Torpedo Nizhny Novgorod,5,0,2,2,false,wikipedia-career,2024-khl-playoffs-anton-silayev,https://en.wikipedia.org/wiki/Anton_Silayev,,,,,,,,,,
Anton Silayev,2023-24,MHL,Chaika Nizhny Novgorod,4,0,2,2,false,nhl-team-release,2024-mhl-playoffs-anton-silayev,https://www.nhl.com/devils/news/topic/10-takeaways/devils-sign-defenseman-anton-silayev-release-6-1-26,,,,,,,,,,
Igor Chernyshov,2023-24,KHL,Dynamo Moskva,34,3,1,4,true,wikipedia-career,2024-khl-regular-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
Igor Chernyshov,2023-24,KHL,Dynamo Moskva,10,0,0,0,false,wikipedia-career,2024-khl-playoffs-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
Igor Chernyshov,2023-24,MHL,MHC Dynamo Moskva,22,13,15,28,true,wikipedia-career,2024-mhl-regular-igor-chernyshov,https://en.wikipedia.org/wiki/Igor_Chernyshov_(ice_hockey),,,,,,,,,,
Ilya Nabokov,2023-24,KHL,Metallurg Magnitogorsk,43,0,0,0,true,wikipedia-career-goalie,2024-khl-regular-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,2231,,,80,0.930,2.15,23,13,3,3
Ilya Nabokov,2023-24,KHL,Metallurg Magnitogorsk,23,0,0,0,false,wikipedia-career-goalie,2024-khl-playoffs-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,1349,,,41,0.942,1.82,16,6,0,4
Nikita Artamonov,2023-24,KHL,Torpedo Nizhny Novgorod,54,7,16,23,true,eliteprospects-team,2024-khl-regular-nikita-artamonov,https://www.eliteprospects.com/team/200/torpedo-nizhny-novgorod/stats/2023-2024,,,,,,,,,,
Nikita Artamonov,2023-24,KHL,Torpedo Nizhny Novgorod,5,0,0,0,false,recruit-scouting,2024-khl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,,,,,,,,,,
Nikita Artamonov,2023-24,MHL,Chaika Nizhny Novgorod,11,6,4,10,false,recruit-scouting,2024-mhl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,,,,,,,,,,
Alexander Plesovskikh,2023-24,MHL,Mamonty Yugry,33,8,9,17,true,quanthockey-team,2024-mhl-regular-alexander-plesovskikh,https://www.quanthockey.com/mhl/en/teams/mamonty-yugry-players-2023-24-mhl-stats.html,,,,,,,,,,
Alexander Siryatsky,2023-24,MHL,Stalnye Lisy Magnitogorsk,36,5,14,19,true,canes-prospect-bio,2024-mhl-regular-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,,,,,,,,,,
Alexander Siryatsky,2023-24,MHL,Stalnye Lisy Magnitogorsk,6,0,4,4,false,canes-prospect-bio,2024-mhl-playoffs-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,,,,,,,,,,
Alexander Siryatsky,2023-24,KHL,Metallurg Magnitogorsk,3,0,0,0,true,canes-prospect-bio,2024-khl-regular-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,,,,,,,,,,
Andrey Krutov,2023-24,MHL,Chaika Nizhny Novgorod,41,21,29,50,true,canes-prospect-bio,2024-mhl-regular-andrey-krutov,https://canespr.com/andreykrutov/,,,,,,,,,,
Andrey Krutov,2023-24,MHL,Chaika Nizhny Novgorod,14,7,3,10,false,nhl-team-draft-recap,2024-mhl-playoffs-andrey-krutov,https://www.nhl.com/hurricanes/news/canes-pick-10-players-on-second-day-of-draft,,,,,,,,,,
Denis Gabdrakhmanov,2023-24,MHL,Tyumensky Legion,40,0,0,0,true,quanthockey-player-goalie,2024-mhl-regular-denis-gabdrakhmanov,https://www.quanthockey.com/hockey-stats/en/profile.php?player=154658,2185,1230,1137,93,0.924,2.55,10,20,,1
Dmitry Gamzin,2023-24,KHL,CSKA Moscow,13,0,0,0,true,sportsru-goalie,2024-khl-regular-dmitry-gamzin,https://www.sports.ru/hockey/person/dmitry-gamzin/,727,379,355,24,0.937,1.98,8,5,,1
Egor Surin,2023-24,MHL,Loko Yaroslavl,42,22,30,52,true,nhl-prospect-bios,2024-mhl-regular-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
Egor Surin,2023-24,MHL,Loko Yaroslavl,19,5,18,23,false,nhl-prospect-bios,2024-mhl-playoffs-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
Egor Surin,2023-24,KHL,Lokomotiv Yaroslavl,3,0,0,0,true,nhl-prospect-bios,2024-khl-regular-egor-surin,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=46,,,,,,,,,,
Fyodor Avramov,2023-24,MHL,Kapitan Stupino,49,23,21,44,true,canes-prospect-bio,2024-mhl-regular-fyodor-avramov,https://canespr.com/fyodoravramov/,,,,,,,,,,
Ilya Pautov,2023-24,MHL,Krasnaya Armiya Moscow,46,15,30,45,true,nhl-team-release,2024-mhl-regular-ilya-pautov,https://www.nhl.com/flyers/news/flyers-sign-ilya-pautov-to-entry-level-contract,,,,,,,,,,
Ivan Demidov,2023-24,MHL,SKA-1946 St. Petersburg,30,23,37,60,true,nhl-prospect-bios,2024-mhl-regular-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
Ivan Demidov,2023-24,MHL,SKA-1946 St. Petersburg,17,11,17,28,false,nhl-prospect-bios,2024-mhl-playoffs-ivan-demidov,https://media.nhl.com/site/asset/public/ext/2023-24/2024NHLDraft_ProspectProfiles.pdf#page=36,,,,,,,,,,
